state,fips,cases,deaths,year,State,Population,Abbreviation,cases_per_capita,deaths_per_capita
Alabama,1,365747,4872,2021,Alabama,4893186,AL,0.07474618786205961,0.0009956703056045694
Alaska,2,46740,198,2021,Alaska,736990,AK,0.06342012781720241,0.000268660361741679
Arizona,4,530267,9015,2021,Arizona,7174064,AZ,0.07391445072137634,0.001256609921517288
Arkansas,5,229442,3711,2021,Arkansas,3011873,AR,0.07617917488552804,0.0012321236652408651
California,6,2345811,26236,2021,California,39346023,CA,0.05962002817921395,0.0006668018264514307
Colorado,8,338357,4936,2021,Colorado,5684926,CO,0.05951827693095741,0.0008682610820263976
Connecticut,9,185708,5995,2021,Connecticut,3570549,CT,0.05201104928121698,0.001679013507446614
Delaware,10,58064,930,2021,Delaware,967679,DE,0.06000336888575654,0.000961062501097988
District of Columbia,11,29252,788,2021,District of Columbia,701974,DC,0.041671059042072786,0.0011225486983848405
Florida,12,1323307,21672,2021,Florida,21216924,FL,0.062370351140438644,0.0010214487264977713
Georgia,13,654950,10610,2021,Georgia,10516579,GA,0.062277856706063825,0.0010088832119266161
Hawaii,15,21736,287,2021,Hawaii,1420074,HI,0.015306244604154431,0.0002021021439727789
Idaho,16,141388,1438,2021,Idaho,1754367,ID,0.08059203119985726,0.0008196688606203833
Illinois,17,966287,17979,2021,Illinois,12716164,IL,0.07598887526143891,0.0014138697802261752
Indiana,18,520750,8371,2021,Indiana,6696893,IN,0.07775994031859251,0.0012499826412039135
Iowa,19,282980,3898,2021,Iowa,3150011,IA,0.08983460692676946,0.0012374559961854101
Kansas,20,230352,2879,2021,Kansas,2912619,KS,0.07908758406094309,0.0009884574673172152
Kentucky,21,269470,2956,2021,Kentucky,4461952,KY,0.060392850483375886,0.0006624903181387877
Louisiana,22,315275,7488,2021,Louisiana,4664616,LA,0.06758862894609116,0.001605276833076935
Maine,23,24201,347,2021,Maine,1340825,ME,0.018049335297298304,0.00025879589058974884
Maryland,24,280387,5942,2021,Maryland,6037624,MD,0.04643995717520667,0.0009841619816007092
Massachusetts,25,375178,12423,2021,Massachusetts,6873003,MA,0.054587201547853244,0.0018075068496259932
Michigan,26,526845,13011,2021,Michigan,9973907,MI,0.05282232930385254,0.0013045038418746035
Minnesota,27,415361,5382,2021,Minnesota,5600166,MN,0.07416940854967513,0.0009610429405128348
Mississippi,28,218386,4816,2021,Mississippi,2981835,MS,0.07323879423241057,0.0016151128415891557
Missouri,29,421217,5906,2021,Missouri,6124160,MO,0.0687795550736754,0.0009643771553976382
Montana,30,81701,962,2021,Montana,1061705,MT,0.07695263750288452,0.0009060897330237684
Nebraska,31,168567,1707,2021,Nebraska,1923826,NE,0.08762070998104818,0.0008872943810926768
Nevada,32,227046,3146,2021,Nevada,3030281,NV,0.07492572471001864,0.0010381875476234712
New Hampshire,33,44028,759,2021,New Hampshire,1355244,NH,0.03248713884732196,0.00056004675172884
New Jersey,34,484882,19160,2021,New Jersey,8885418,NJ,0.0545705334290407,0.0021563419976415293
New Mexico,35,144142,2504,2021,New Mexico,2097021,NM,0.06873655533254078,0.0011940748328223704
New York,36,996073,37733,2021,New York,19514849,NY,0.05104179899111697,0.0019335532650034853
North Carolina,37,543976,6819,2021,North Carolina,10386227,NC,0.052374745901471245,0.0006565425539033569
North Dakota,38,92777,1316,2021,North Dakota,760394,ND,0.12201174654192432,0.0017306817255265034
Ohio,39,700380,8962,2021,Ohio,11675275,OH,0.0599883086265634,0.0007676050457055615
Oklahoma,40,290936,2489,2021,Oklahoma,3949342,OK,0.07366695515354203,0.0006302315676889973
Oregon,41,115377,1501,2021,Oregon,4176346,OR,0.02762630299309492,0.00035940508760528943
Pennsylvania,42,652952,16247,2021,Pennsylvania,12794885,PA,0.051032267972709405,0.0012698043007029762
Rhode Island,44,87949,1777,2021,Rhode Island,1057798,RI,0.08314347351762813,0.00167990485896173
South Carolina,45,307507,5296,2021,South Carolina,5091517,SC,0.06039594879090063,0.0010401615078570886
South Dakota,46,99164,1488,2021,South Dakota,879336,SD,0.11277145482500432,0.001692185922104861
Tennessee,47,572579,6846,2021,Tennessee,6772268,TN,0.08454759912041283,0.0010108873423201798
Texas,48,1778306,28434,2021,Texas,28635442,TX,0.06210157328809522,0.0009929652910543514
Utah,49,276612,1273,2021,Utah,3151239,UT,0.08777880700257898,0.00040396809001157956
Vermont,50,7412,136,2021,Vermont,624340,VT,0.011871736553800813,0.00021783002851010668
Virginia,51,354766,5081,2021,Virginia,8509358,VA,0.041691276827229506,0.0005971073258405628
Washington,53,251585,3523,2021,Washington,7512465,WA,0.033489007935477905,0.000468953931898518
West Virginia,54,87820,1361,2021,West Virginia,1807426,WV,0.04858843460257847,0.0007530045490105819
Wisconsin,55,522523,5257,2021,Wisconsin,5806975,WI,0.08998196134820625,0.000905290620331584
Wyoming,56,44409,438,2021,Wyoming,581348,WY,0.07638970117726387,0.0007534213586354473
Alabama,1,369458,4872,2021,Alabama,4893186,AL,0.07550458944336062,0.0009956703056045694
Alaska,2,47549,207,2021,Alaska,736990,AK,0.06451783606290452,0.00028087219636630076
Arizona,4,539162,9061,2021,Arizona,7174064,AZ,0.07515433372214131,0.0012630219078056733
Arkansas,5,231442,3729,2021,Arkansas,3011873,AR,0.07684321350867052,0.0012381000128491473
California,6,2398005,26542,2021,California,39346023,CA,0.0609465663149742,0.0006745789784141589
Colorado,8,340454,4976,2021,Colorado,5684926,CO,0.05988714716779075,0.0008752972334204526
Connecticut,9,190120,6099,2021,Connecticut,3570549,CT,0.053246713600625564,0.0017081406808868889
Delaware,10,58873,930,2021,Delaware,967679,DE,0.0608393899216579,0.000961062501097988
District of Columbia,11,29509,792,2021,District of Columbia,701974,DC,0.04203716946781505,0.0011282469151279108
Florida,12,1354825,21889,2021,Florida,21216924,FL,0.06385586336643333,0.0010316764107747192
Georgia,13,662077,10612,2021,Georgia,10516579,GA,0.06295554856764733,0.0010090733878383835
Hawaii,15,21895,287,2021,Hawaii,1420074,HI,0.015418210600292661,0.0002021021439727789
Idaho,16,142290,1451,2021,Idaho,1754367,ID,0.08110617675777075,0.0008270789407233492
Illinois,17,977677,18217,2021,Illinois,12716164,IL,0.07688458563447279,0.0014325861163791218
Indiana,18,526065,8410,2021,Indiana,6696893,IN,0.07855359194181541,0.0012558062373103467
Iowa,19,283895,3946,2021,Iowa,3150011,IA,0.09012508210288789,0.0012526940382112952
Kansas,20,230352,2879,2021,Kansas,2912619,KS,0.07908758406094309,0.0009884574673172152
Kentucky,21,275803,2999,2021,Kentucky,4461952,KY,0.06181218444304197,0.0006721273559195616
Louisiana,22,315275,7488,2021,Louisiana,4664616,LA,0.06758862894609116,0.001605276833076935
Maine,23,25245,358,2021,Maine,1340825,ME,0.018827960397516455,0.0002669997949023922
Maryland,24,283339,5967,2021,Maryland,6037624,MD,0.04692889123271009,0.0009883026833072083
Massachusetts,25,384181,12502,2021,Massachusetts,6873003,MA,0.055897109313061556,0.0018190010974824251
Michigan,26,535355,13296,2021,Michigan,9973907,MI,0.05367555562729831,0.0013330784014729635
Minnesota,27,417891,5436,2021,Minnesota,5600166,MN,0.07462118087213843,0.0009706855118223281
Mississippi,28,220277,4840,2021,Mississippi,2981835,MS,0.07387296748478706,0.0016231615766801315
Missouri,29,423894,5910,2021,Missouri,6124160,MO,0.06921667624621172,0.0009650303061970948
Montana,30,81991,971,2021,Montana,1061705,MT,0.07722578305649874,0.0009145666639980032
Nebraska,31,169330,1708,2021,Nebraska,1923826,NE,0.08801731549526828,0.0008878141786211435
Nevada,32,229601,3158,2021,Nevada,3030281,NV,0.0757688808397637,0.0010421475764128805
New Hampshire,33,45184,769,2021,New Hampshire,1355244,NH,0.03334012177880884,0.0005674254968109064
New Jersey,34,490393,19187,2021,New Jersey,8885418,NJ,0.05519076311322664,0.0021593806841726524
New Mexico,35,145379,2536,2021,New Mexico,2097021,NM,0.06932643974476174,0.0012093345750948607
New York,36,1011922,37854,2021,New York,19514849,NY,0.05185394977947306,0.001939753671678423
North Carolina,37,559942,6933,2021,North Carolina,10386227,NC,0.05391197400172363,0.0006675186282756963
North Dakota,38,92898,1317,2021,North Dakota,760394,ND,0.12217087457291878,0.0017319968332206725
Ohio,39,714673,9017,2021,Ohio,11675275,OH,0.06121251961945222,0.0007723158555151806
Oklahoma,40,296055,2527,2021,Oklahoma,3949342,OK,0.07496312043879715,0.0006398534236842492
Oregon,41,116348,1503,2021,Oregon,4176346,OR,0.027858802886542446,0.00035988397513041307
Pennsylvania,42,661731,16270,2021,Pennsylvania,12794885,PA,0.05171840153311265,0.0012716018940381255
Rhode Island,44,87949,1777,2021,Rhode Island,1057798,RI,0.08314347351762813,0.00167990485896173
South Carolina,45,312718,5385,2021,South Carolina,5091517,SC,0.06141941586368071,0.0010576415634083122
South Dakota,46,99829,1501,2021,South Dakota,879336,SD,0.11352770727003102,0.0017069698044888417
Tennessee,47,589406,6908,2021,Tennessee,6772268,TN,0.08703229110247852,0.0010200423255547477
Texas,48,1792363,28508,2021,Texas,28635442,TX,0.06259246845220688,0.0009955495012090262
Utah,49,281747,1294,2021,Utah,3151239,UT,0.08940832478907502,0.0004106321354870259
Vermont,50,7689,139,2021,Vermont,624340,VT,0.012315405067751545,0.00022263510266841785
Virginia,51,358755,5117,2021,Virginia,8509358,VA,0.042160054847851035,0.000601337962276355
Washington,53,253290,3524,2021,Washington,7512465,WA,0.03371596406771945,0.00046908704399953945
West Virginia,54,89327,1373,2021,West Virginia,1807426,WV,0.04942221700916109,0.0007596438249754071
Wisconsin,55,523652,5259,2021,Wisconsin,5806975,WI,0.09017638271216942,0.0009056350337309873
Wyoming,56,44573,438,2021,Wyoming,581348,WY,0.07667180415173011,0.0007534213586354473
Alabama,1,371934,4873,2021,Alabama,4893186,AL,0.07601059922921385,0.0009958746714308429
Alaska,2,47846,207,2021,Alaska,736990,AK,0.06492082660551704,0.00028087219636630076
Arizona,4,556384,9061,2021,Arizona,7174064,AZ,0.07755492563211033,0.0012630219078056733
Arkansas,5,233475,3749,2021,Arkansas,3011873,AR,0.07751820876909485,0.0012447403990805722
California,6,2433916,26635,2021,California,39346023,CA,0.061859263387306004,0.0006769426226381253
Colorado,8,342494,4997,2021,Colorado,5684926,CO,0.06024599088888756,0.0008789912129023315
Connecticut,9,190120,6099,2021,Connecticut,3570549,CT,0.053246713600625564,0.0017081406808868889
Delaware,10,59484,930,2021,Delaware,967679,DE,0.0614707976508739,0.000961062501097988
District of Columbia,11,29764,794,2021,District of Columbia,701974,DC,0.04240043078518577,0.001131096023499446
Florida,12,1365428,21986,2021,Florida,21216924,FL,0.06435560593043553,0.0010362482327787006
Georgia,13,667705,10616,2021,Georgia,10516579,GA,0.06349070358336109,0.0010094537396619185
Hawaii,15,22017,287,2021,Hawaii,1420074,HI,0.015504121616197465,0.0002021021439727789
Idaho,16,142568,1451,2021,Idaho,1754367,ID,0.08126463847074186,0.0008270789407233492
Illinois,17,982105,18322,2021,Illinois,12716164,IL,0.07723280385499903,0.001440843323505422
Indiana,18,529054,8475,2021,Indiana,6696893,IN,0.07899991832033153,0.0012655122308210687
Iowa,19,284715,3946,2021,Iowa,3150011,IA,0.09038539865416342,0.0012526940382112952
Kansas,20,230352,2879,2021,Kansas,2912619,KS,0.07908758406094309,0.0009884574673172152
Kentucky,21,278478,3013,2021,Kentucky,4461952,KY,0.06241169783986919,0.0006752649961272555
